Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
What is another name for the thigh bone?,easy,A,A. Femur,B. Tibia,C. Radius,D. Humerus
Which market is central to Nollywood's film distribution?,medium,B,A. Balogun Market,B. Alaba International Market,C. Igbosere Market,D. New Market
What is the role of the epithelial tissue in the human body?,medium,C,A. Support,B. Transport,C. Protection,D. Contraction
"In Nigeria, what is the currency used?",easy,C,A. Dollar,B. Pound,C. Naira,D. Cedi
Who is the notable Nigerian poet that wrote 'The Man Died'?,medium,A,A. Wole Soyinka,B. Chinua Achebe,C. Chris Abani,D. Niyi Osundare
"Which Nigerian female artist is known for the hit ""Johnny""?",easy,B,A. Tiwa Savage,B. Yemi Alade,C. Seyi Shay,D. Niniola
What is the Yoruba name for twins?,medium,C,A. Omo,B. Ajoke,C. Taiwo,D. Kehinde
Which body organ is primarily involved in detoxification?,medium,B,A. Kidney,B. Liver,C. Spleen,D. Heart
The Nigerian movie 'The Figurine' explores themes of:,medium,C,A. Politics,B. Love and betrayal,C. Superstition and fate,D. Crime and justice
Who was known as the ‘Queen of Nollywood’?,easy,A,A. Genevieve Nnaji,B. Omotola Jalade,C. Patience Ozokwor,D. Mercy Johnson
Who became Nigeria’s first President after the country became a Republic?,medium,B,A. Obafemi Awolowo,B. Nnamdi Azikiwe,C. Yakubu Gowon,D. Olusegun Obasanjo
Which region is the Yoruba culture predominantly found?,easy,C,A. Northern Nigeria,B. Eastern Nigeria,C. Western Nigeria,D. Southern Nigeria
Which part of the digestive system is mainly involved in nutrient absorption?,medium,B,A. Stomach,B. Small intestine,C. Large intestine,D. Rectum
In what year was Nollywood considered to have been officially birthed with the release of 'Living in Bondage'?,medium,C,A. 1994,B. 1996,C. 1992,D. 1990
What city in Nigeria is renowned for being the hub of the country's movie industry?,easy,B,A. Abuja,B. Lagos,C. Kano,D. Port Harcourt
Which Nigerian artist is nicknamed 'Omo Baba Olowo'?,medium,B,A. Burna Boy,B. Davido,C. Olamide,D. Wizkid
Who was the first indigenous head of state after Nigeria's independence?,medium,C,A. Nnamdi Azikiwe,B. Obafemi Awolowo,C. Tafawa Balewa,D. Yakubu Gowon
Which film shot Funke Akindele into stardom?,easy,A,A. Jenifa,B. The Figurine,C. Half of a Yellow Sun,D. October 1
Which Nigerian music genre is Fela Kuti credited with pioneering?,medium,D,A. Juju,B. Fuji,C. Highlife,D. Afrobeat
What is the name of the largest ethnic group in Nigeria's northern region?,medium,C,A. Igbo,B. Yoruba,C. Hausa-Fulani,D. Tiv
Which structure in the human body is primarily responsible for hematopoiesis?,medium,A,A. Bone marrow,B. Lymph nodes,C. Spleen,D. Thymus
Which popular Nigerian music award celebrates achievements in the Nigerian music industry?,medium,C,A. The Grammy Awards,B. The NEA,C. The Headies,D. AFRIMA
Who was the Nigerian leader during the start of the Biafran War?,hard,B,A. Olusegun Obasanjo,B. Yakubu Gowon,C. Ibrahim Babangida,D. Aguiyi Ironsi
"Which Nigerian artist was known for the song ""Dorobucci""?",medium,C,A. Tiwa Savage,B. D'banj,C. Don Jazzy,D. Dr. SID
Which Nigerian comedian is popularly known for his skits featuring 'Mummy wa'?,medium,C,A. Lasisi Elenu,B. Broda Shaggi,C. Mr. Macaroni,D. Bovi
Who became Nigeria's head of state following the coup of 1983?,hard,A,A. Muhammadu Buhari,B. Ibrahim Babangida,C. Yakubu Gowon,D. Olusegun Obasanjo
Which body part contains the highest number of bones?,medium,A,A. Hand,B. Skull,C. Foot,D. Spine
Which Nollywood movie had a sequel called 'The Wedding Party 2: Destination Dubai'?,easy,D,A. 30 Days in Atlanta,B. The Figurine,C. Chief Daddy,D. The Wedding Party
Who is famous for the song 'Ojuelegba'?,easy,A,A. Wizkid,B. Burna Boy,C. Davido,D. Patoranking
Which Nigerian monarch is traditionally regarded as the king of all Yorubaland?,medium,B,A. Oba of Lagos,B. Ooni of Ife,C. Alaafin of Oyo,D. Obi of Onitsha
Which part of the human body is known as the voice box?,medium,A,A. Larynx,B. Pharynx,C. Trachea,D. Bronchi
Which Nigerian songstress is known for the popular track 'Simisola'?,medium,A,A. Simi,B. Yemi Alade,C. Tiwa Savage,D. Asa
The midbrain is a part of which integral human system?,medium,C,A. Digestive,B. Respiratory,C. Nervous,D. Circulatory
Which Nigerian director produced 'living in bondage'?,hard,C,A. Kunle Afolayan,B. Chico Ejiro,C. Kenneth Nnebue,D. Tunde Kelani
The famous Nigerian dish known as 'suya' is primarily made of what?,easy,C,A. Chicken,B. Fish,C. Beef,D. Goat
What is the endocrine gland located at the base of the brain that regulates hormones?,hard,C,A. Thyroid,B. Adrenal,C. Pituitary,D. Pancreas
What is the Yoruba term for masquerade?,medium,A,A. Egungun,B. Igwe,C. Alagba,D. Masquerado
Which region is primarily associated with the Hausa culture?,medium,C,A. Western Nigeria,B. Eastern Nigeria,C. Northern Nigeria,D. Southern Nigeria
Which film led to Amaka Igwe's initial fame in Nollywood?,hard,C,A. Rattlesnake,B. Living in Bondage,C. Violated,D. Checkmate
What was the historical Benin Empire known for?,medium,B,A. Stone carvings,B. Bronze casting,C. Wood sculptures,D. Pottery
Which Nigerian star is known for 'Assurance'?,medium,A,A. Davido,B. Wizkid,C. Burna Boy,D. Teckno
Which Nollywood film was directed by Izu Ojukwu and is set during the Nigerian political crisis?,hard,B,A. October 1,B. '76,C. Lionheart,D. The Figurine
Which organ of the human body is known as the 'second brain'?,hard,C,A. Heart,B. Liver,C. Gut,D. Skin
Which Nigerian artist was once a member of the Plantashun Boiz?,medium,A,A. 2Baba,B. D'banj,C. Wizkid,D. Timaya
"In human biology, what is the primary purpose of saliva?",medium,A,A. Digestion,B. Speaking,C. Taste,D. Fight bacteria
Who wrote the famous book 'Things Fall Apart'?,easy,B,A. Wole Soyinka,B. Chinua Achebe,C. Ben Okri,D. Buchi Emecheta
Which city is the hub of the Yoruba film industry?,medium,A,A. Ibadan,B. Abeokuta,C. Lagos,D. Ilesha
Who was the Nigerian king and creator of the Yoruba kingdom?,medium,B,A. Sango,B. Oduduwa,C. Ogun,D. Oranmiyan
Which Nigerian musician made the song 'Fem' popular?,medium,C,A. Wizkid,B. Burna Boy,C. Davido,D. Olamide
What nutrient is milk mostly composed of?,medium,D,A. Protein,B. Carbohydrate,C. Fat,D. Calcium
Who is referred to as the 'father of African literature'?,medium,A,A. Chinua Achebe,B. Wole Soyinka,C. Ngugi wa Thiong'o,D. Ayi Kwei Armah
What is a common Nigerian term for a local gathering or party?,easy,A,A. Owambe,B. Fiesta,C. Get-together,D. Kelele
What is the defensive protein in our immune system called?,medium,B,A. Lipid,B. Antibody,C. Carbohydrate,D. Hormone
Which Nigerian region is  known for its elaborate bronze sculptures?,medium,A,A. Benin,B. Lagos,C. Kano,D. Abuja
Which Nollywood movie centers around civil service and corruption?,medium,B,A. Half of a Yellow Sun,B. The Meeting,C. October 1,D. Lionheart
Which Nigerian performer was dubbed 'Nigeria's Musical Icon'?,medium,A,A. Fela Kuti,B. King Sunny Ade,C. Ebenezer Obey,D. Onyeka Onwenu
Which Nigerian artist is referred to as the Star Boy?,medium,C,A. 2Baba,B. Burna Boy,C. Wizkid,D. D'banj
What was the significance of Bini people in ancient Nigeria?,medium,D,A. Pottery,B. Metalworks,C. Textile making,D. Sculpture
What is Naija's most populous city?,easy,B,A. Abuja,B. Lagos,C. Kano,D. Ibadan
Which instrument is synonymous with Fela's music?,easy,B,A. Piano,B. Saxophone,C. Drums,D. Guitar
Who was the legendary first Igbo ruler of ancient Nigeria?,hard,A,A. Eze Nri,B. Oba Akenzua,C. Alaafin,D. Oranyan
Which of the following is NOT a Nigerian ethnic group?,easy,A,A. Zulu,B. Igbo,C. Yoruba,D. Hausa
Hereditary information is encoded in which molecule?,medium,B,A. RNA,B. DNA,C. ATP,D. Protein
What is Nollywood’s rank in terms of the number of films produced worldwide?,medium,B,A. First,B. Second,C. Third,D. Fourth
Which Nigerian musician is famously known for the album 'Superstar'?,medium,C,A. Tiwa Savage,B. Burna Boy,C. Wizkid,D. Davido
Which kingdom is known to be one of the oldest in Nigeria?,medium,A,A. Kanem-Bornu,B. Benin,C. Sokoto,D. Zaria
The cornea is a part of which human body organ?,medium,B,A. Ear,B. Eye,C. Nose,D. Mouth
Which Nigerian musician is best known for the hit 'Joro'?,easy,D,A. Singing Bird,B. Davido,C. Patoranking,D. Wizkid
What does the Nigerian artistic term 'adire' refer to?,medium,C,A. Music style,B. Pottery technique,C. Textile design,D. Dance style
What Nigerian dish is made from fermented cassava?,medium,C,A. Jollof Rice,B. Pounded Yam,C. Garri,D. Moi Moi
Which Nigerian singer had a famous remix of 'Mary' with 50 Cent?,medium,D,A. Wande Coal,B. Flavour,C. Seyi Shay,D. 2Baba
The Nigerian movie 'Phone Swap' was directed by which filmmaker?,medium,B,A. Lancelot Imasuen,B. Kunle Afolayan,C. Jeta Amata,D. C.J. Obasi
Which ancient Nigerian city was one of the largest cities in pre-colonial Africa?,hard,A,A. Benin,B. Lagos,C. Sokoto,D. Zaria
Who is credited with founding the Lagos state music festival 'Afropolitan Vibes'?,hard,C,A. Asa,B. Brymo,C. Ade Bantu,D. Tiwa Savage
Which part of the human cell is primarily responsible for generating energy?,medium,D,A. Nucleus,B. Cytoplasm,C. Ribosome,D. Mitochondria
Who was the Nigerian pop singer born as Innocent Ujah Idibia?,medium,B,A. Wizkid,B. 2Baba,C. D'banj,D. Timaya
Which Nigerian movie focuses on the struggle between urban and traditional beliefs in Nigeria?,medium,C,A. Citation,B. The Delivery Boy,C. The Figurine,D. Maami
What is the Yoruba word for moon?,medium,C,A. Oorun,B. Omo,C. Osupa,D. Ojo
In which year was the Nigerian film 'Living in Bondage' released?,medium,A,A. 1992,B. 1996,C. 2000,D. 1989
Who is the artist known for the hit single 'Godwin'?,medium,B,A. Mayorkun,B. Korede Bello,C. Simi,D. Tiwa Savage
The method of batik tie-dyeing in Nigeria is called:,medium,A,A. Adire,B. Ankara,C. Kaba,D. Ikire
What is the primary religion practiced by the Yoruba people?,medium,C,A. Christianity,B. Islam,C. Traditional beliefs,D. Buddhism
Which Nigerian artist performed 'Mad Over You'?,medium,D,A. Burna Boy,B. Davido,C. Patoranking,D. Runtown
Which river forms part of Nigeria's borders with its neighbors Niger and Cameroon?,medium,B,A. Limpopo,B. Benue,C. Congo,D. Nile
Which Nollywood producer is credited for revolutionizing Nigerian filmmaking?,hard,C,A. Tunde Kelani,B. Kunle Afolayan,C. Kenneth Nnebue,D. Mildred Okwo
What Nigerian city is known for dealing in kola nuts?,medium,B,A. Lagos,B. Kano,C. Ibadan,D. Maiduguri
Who is best known as Nigeria's epic movie director?,medium,B,A. Kunle Afolayan,B. Tunde Kelani,C. Jide Kosoko,D. Desmond Elliot
The movie 'Isoken' was primarily a critique of which societal issue?,medium,C,A. Gender equality,B. Ethnic diversity,C. Marriage and relationships,D. Political infidelity
The famous painting 'Tutu' was created by which Nigerian artist?,hard,A,A. Ben Enwonwu,B. Yusuf Grillo,C. Bruce Onobrakpeya,D. Aina Onabolu
Which Nigerian film director is known for 'October 1'?,medium,B,A. Izu Ojukwu,B. Kunle Afolayan,C. Tunde Kelani,D. Amaka Igwe
"In human anatomy, what is the function of alveoli?",hard,C,A. Transport blood,B. Filter waste,C. Exchange gases,D. Produce enzymes
Who was known as the 'Showman of Africa'?,medium,B,A. Fela Kuti,B. Sunny Ade,C. Jide Kosoko,D. Dr. Spaceman
Which Nollywood film centers on a major airline tragedy?,medium,C,A. The Wedding Party,B. 30 Days in Atlanta,C. Last Flight to Abuja,D. Chief Daddy
Which Nigerian artist made the song 'Dami Duro' famous?,medium,D,A. Wizkid,B. Olamide,C. Burna Boy,D. Davido
Which Nigerian artist had a feature in Beyoncé's album 'The Lion King: The Gift'?,medium,C,A. Davido,B. Mr Eazi,C. Burna Boy,D. Fireboy DML
The 'Arugba' festival is celebrated in which Nigerian town?,medium,B,A. Ibadan,B. Osogbo,C. Abeokuta,D. Onitsha
The 'Gongola' is best known as what?,hard,A,A. A river,B. A festival,C. A dish,D. A dance
The 'First Lady' movie is about which profession?,medium,C,A. Teaching,B. Acting,C. Politics,D. Piloting
'Fufu' is a staple food made from which major crop?,easy,B,A. Yam,B. Cassava,C. Rice,D. Beans
People from which country were traded as slaves in Calabar?,medium,B,A. Britain,B. Portugal,C. Spain,D. France
Who is the Nigerian actress married to a famous Nigerian musician?,easy,A,A. Annie Idibia,B. Funke Akindele,C. Patience Ozokwor,D. Regina Daniels
Which music video directed by Clarence Peters won multiple awards in Nigeria?,medium,B,A. Fall,B. Johnny,C. Soco,D. Assureance
"In Nigeria, which body is responsible for music copyright regulation?",medium,A,A. Copyright Society of Nigeria,B. Nigerian Music Association,C. PMRS,D. NITDA
Nigerian artist Naira Marley became famous for which dance style?,medium,C,A. Zanku,B. Shaku Shaku,C. Soapy,D. Azonto
Which singer is often referred to as the 'African Giant'?,medium,B,A. Wizkid,B. Burna Boy,C. Davido,D. Yemi Alade
Who was the traditional ruler in Nigeria known for her anti-colonial stance?,medium,A,A. Queen Amina,B. Oba Eweka,C. Moremi,D. Queen Idia
The 'afrobeats' genre originated from a fusion of which two music styles?,medium,B,A. Rock and reggae,B. Jazz and Nigerian traditional music,C. Blues and gospel,D. Gospel and pop
Nigeria is located in which part of Africa?,easy,B,A. North Africa,B. West Africa,C. East Africa,D. Central Africa
Which traditional Nigerian dish is a spicy stew based sauce served with rice?,easy,D,A. Okra soup,B. Groundnut soup,C. Egusi soup,D. Jollof rice
Which acclaimed Nigerian producer is known for bringing out multiple hits from famous artists?,medium,B,A. Jay Sleek,B. Don Jazzy,C. Masterkraft,D. Cobhams Asuquo
Which award is Nigeria's top music accolade?,medium,C,A. The Grammy,B. The BET Award,C. The Headies,D. AMA
Which Nigerian city was formally known as 'Old Calabar'?,medium,D,A. Aba,B. Uyo,C. Onitsha,D. Calabar
Which artist is associated with the hit song 'Sicker'?,medium,B,A. Davido,B. Tekno,C. Tiwa Savage,D. Simi
Who is recognized as the Nigerian artist that popularized Fuji music?,medium,D,A. Fela Kuti,B. King Sunny Ade,C. Shina Peters,D. Wasiu Ayinde
What major fiber in plants is crucial for the human digestive tract?,medium,A,A. Cellulose,B. Protein,C. Lipid,D. Starch
Which city in Nigeria is renowned for producing cocoa?,medium,A,A. Ibadan,B. Calabar,C. Benin,D. Osogbo
What was the first Nigerian movie to gain international recognition?,medium,C,A. October 1,B. The Figurine,C. Living in Bondage,D. Osuofia in London
Which Nigerian monarch was famously known for his warrior skills?,medium,C,A. Oba Ovoranmwen,B. Oba Eweka,C. Queen Amina,D. Oba Akenzua
What does ANCOP stand for in Nigerian cinema?,medium,C,A. Actors National Coalition of Nigeria,B. Association of Nigeria Cinema Owners and Producers,C. Association of Nollywood Core Producers,D. Actors and Nigerian Cinema Organization Production
Who became famous for 'Gbese' featuring Zlatan?,medium,C,A. Davido,B. Beyoce,C. Wizkid,D. Tekno
Which Nollywood actor is known as 'M.O.G'? ,medium,C,A. Ramsey Nouah,B. Mike Ezuruonye,C. Richard Mofe-Damijo,D. Charles Inojie
Ikorodu Bois gained international fame by recreating which famous movie trailors?,medium,B,A. Avengers,B. Titanic,C. Dark Knight Rises,D. Spider-Man
The element fluorine can be found in which part of human biology?,medium,A,A. Teeth,B. Bones,C. Heart,D. Blood
Who is the artist behind the hit album 'African Giant'?,medium,B,A. Wizkid,B. Burna Boy,C. Tiwa Savage,D. Yemi Alade
What material is the Nigerian staple 'garri' made from?,medium,D,A. Wheat,B. Rice,C. Corn,D. Cassava
Who led Nigeria's national football team in its first World Cup appearance in 1994?,hard,D,A. Sunday Oliseh,B. Jay-Jay Okocha,C. Rashidi Yekini,D. Stephen Keshi
What are the three largest cities in Nigeria?,medium,A,"A. Lagos, Kano, Abuja","B. Lagos, Ibadan, Port Harcourt","C. Abuja, Kaduna, Aba","D. Lagos, Benin, Uyo"
Which is true about Nigerian wriele Fetty Wap?,hard,A,A. Not a Nigerian writer,B. Associated with 123 family of writers,C. A prolific prolific writer,D. Writes in Indigenous Language
Which Nigerian artist is associated with the shout 'MAMA' just before the track 'Get Loose'?,hard,C,A: Timaya,B: Tuface,C: Dbanj,D: Eldee
"In Nollywood, who is often referred to as 'King of Boys'?",medium,D,A. Ramsey Nouah,B. Richard Mofe-Damijo,C. Kunle Afolayan,D. Sola Sobowale
Which historical Nigerian figure was the first President of Nigeria?,easy,A,A. Nnamdi Azikiwe,B. Obafemi Awolowo,C. Olusegun Obasanjo,D. Ahmadu Bello
What is the most abundant element in the human body?,medium,A,A. Oxygen,B. Carbon,C. Hydrogen,D. Nitrogen
The movie 'Living in Bondage' is credited as beginning which film industry?,easy,B,A. Bollywood,B. Nollywood,C. Hollywood,D. Pinewood
Which Nigerian history event is referred to as the 'Nigerian Civil War'?,easy,A,A. Biafran War,B. Sokoto Jihad,C. Aba Women's Riot,D. Agbekoya Revolt
